,name,album,artist,explicit,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,year
0,STARGAZING,ASTROWORLD,Travis Scott,True,2018-08-03,270714,75,2018-08-03,0.00947,0.487,0.789,4.05e-06,0.189,-3.69,0.044,150.007,4,2018
14,BUTTERFLY EFFECT,ASTROWORLD,Travis Scott,False,2018-08-03,190557,78,2018-08-03,0.0531,0.763,0.628,0.0,0.114,-5.85,0.05,140.958,4,2018
13,WHO? WHAT!,ASTROWORLD,Travis Scott,True,2018-08-03,176720,65,2018-08-03,0.0462,0.834,0.731,0.0,0.0731,-5.603,0.0566,140.001,4,2018
12,CAN'T SAY,ASTROWORLD,Travis Scott,True,2018-08-03,198408,75,2018-08-03,0.201,0.702,0.708,0.0,0.118,-5.366,0.0547,147.98,4,2018
11,YOSEMITE,ASTROWORLD,Travis Scott,True,2018-08-03,150043,73,2018-08-03,0.283,0.785,0.554,3.4e-06,0.116,-6.571,0.0409,128.047,4,2018
10,ASTROTHUNDER,ASTROWORLD,Travis Scott,True,2018-08-03,142969,72,2018-08-03,0.142,0.7,0.46,4.81e-05,0.111,-8.111,0.0661,151.901,4,2018
9,NC-17,ASTROWORLD,Travis Scott,True,2018-08-03,156885,65,2018-08-03,0.0678,0.804,0.763,0.0,0.368,-5.48,0.0519,136.052,4,2018
15,HOUSTONFORNICATION,ASTROWORLD,Travis Scott,True,2018-08-03,217828,68,2018-08-03,0.0985,0.689,0.723,0.0,0.158,-4.052,0.0836,160.042,4,2018
8,5% TINT,ASTROWORLD,Travis Scott,True,2018-08-03,196138,78,2018-08-03,0.173,0.712,0.481,0.0,0.241,-5.415,0.0487,140.0,4,2018
6,SKELETONS,ASTROWORLD,Travis Scott,True,2018-08-03,145588,71,2018-08-03,0.00146,0.46,0.686,0.0,0.375,-5.948,0.0367,148.054,4,2018
5,NO BYSTANDERS,ASTROWORLD,Travis Scott,True,2018-08-03,218283,72,2018-08-03,0.0204,0.731,0.811,0.0,0.411,-3.225,0.0712,147.045,4,2018
4,STOP TRYING TO BE GOD,ASTROWORLD,Travis Scott,True,2018-08-03,338438,68,2018-08-03,0.221,0.588,0.567,0.0,0.135,-3.738,0.0628,150.009,4,2018
3,R.I.P. SCREW,ASTROWORLD,Travis Scott,True,2018-08-03,185610,67,2018-08-03,0.389,0.607,0.609,1.6e-05,0.111,-5.978,0.291,74.946,4,2018
2,SICKO MODE,ASTROWORLD,Travis Scott,True,2018-08-03,312820,82,2018-08-03,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4,2018
1,CAROUSEL,ASTROWORLD,Travis Scott,True,2018-08-03,180182,66,2018-08-03,0.229,0.428,0.403,0.0,0.22,-5.914,0.209,95.387,5,2018
7,WAKE UP,ASTROWORLD,Travis Scott,True,2018-08-03,231963,69,2018-08-03,0.192,0.741,0.645,0.0,0.163,-5.116,0.0963,149.07,4,2018
16,COFFEE BEAN,ASTROWORLD,Travis Scott,True,2018-08-03,209115,69,2018-08-03,0.0862,0.81,0.582,0.00681,0.207,-5.098,0.125,95.004,4,2018
